run num,mc,lsb,test_acc_centroid,test_acc_nn,model_lsb
0,famous_le_10m,0,0.8,0.0,1
0,famous_le_10m,1,0.2,1.0,1
0,famous_le_10m,2,0.2,1.0,1
0,famous_le_10m,3,0.0,1.0,1
0,famous_le_10m,4,0.0,0.4,1
0,famous_le_10m,5,0.0,0.0,1
0,famous_le_10m,6,0.0,0.0,1
0,famous_le_10m,7,0.0,0.0,1
0,famous_le_10m,8,0.0,0.0,1
0,famous_le_10m,9,0.0,0.0,1
0,famous_le_10m,10,0.0,0.0,1
0,famous_le_10m,11,0.0,0.0,1
0,famous_le_10m,12,0.0,0.0,1
0,famous_le_10m,13,0.0,0.0,1
0,famous_le_10m,14,0.0,0.0,1
0,famous_le_10m,15,0.0,0.0,1
0,famous_le_10m,16,0.0,0.0,1
0,famous_le_10m,17,0.0,0.0,1
0,famous_le_10m,18,0.0,0.0,1
0,famous_le_10m,19,0.0,0.0,1
0,famous_le_10m,20,0.0,0.0,1
0,famous_le_10m,21,0.0,0.0,1
0,famous_le_10m,22,0.0,0.0,1
0,famous_le_10m,23,0.0,0.0,1
0,famous_le_100m,0,0.5714285714285714,0.5,1
0,famous_le_100m,1,0.42857142857142855,0.5,1
0,famous_le_100m,2,0.42857142857142855,0.5,1
0,famous_le_100m,3,0.42857142857142855,0.5,1
0,famous_le_100m,4,0.42857142857142855,0.5,1
0,famous_le_100m,5,0.2857142857142857,0.6428571428571429,1
0,famous_le_100m,6,0.14285714285714285,0.5714285714285714,1
0,famous_le_100m,7,0.14285714285714285,0.2857142857142857,1
0,famous_le_100m,8,0.07142857142857142,0.2857142857142857,1
0,famous_le_100m,9,0.21428571428571427,0.2857142857142857,1
0,famous_le_100m,10,0.21428571428571427,0.2857142857142857,1
0,famous_le_100m,11,0.07142857142857142,0.14285714285714285,1
0,famous_le_100m,12,0.0,0.21428571428571427,1
0,famous_le_100m,13,0.0,0.14285714285714285,1
0,famous_le_100m,14,0.0,0.14285714285714285,1
0,famous_le_100m,15,0.0,0.14285714285714285,1
0,famous_le_100m,16,0.07142857142857142,0.14285714285714285,1
0,famous_le_100m,17,0.14285714285714285,0.07142857142857142,1
0,famous_le_100m,18,0.14285714285714285,0.14285714285714285,1
0,famous_le_100m,19,0.07142857142857142,0.07142857142857142,1
0,famous_le_100m,20,0.0,0.07142857142857142,1
0,famous_le_100m,21,0.0,0.0,1
0,famous_le_100m,22,0.0,0.0,1
0,famous_le_100m,23,0.0,0.0,1
0,maleficnet_benigns,0,1.0,0.0,1
0,maleficnet_mals,1,0.0,0.6153846153846154,1
1,famous_le_10m,0,1.0,0.0,1
1,famous_le_10m,1,0.0,1.0,1
1,famous_le_10m,2,0.0,1.0,1
1,famous_le_10m,3,0.0,1.0,1
1,famous_le_10m,4,0.0,1.0,1
1,famous_le_10m,5,0.0,1.0,1
1,famous_le_10m,6,0.0,0.2,1
