run num,mc,lsb,test_acc_centroid,test_acc_nn,model_lsb
0,famous_le_10m,0,0.0,1.0,1
0,famous_le_10m,1,1.0,0.0,1
0,famous_le_10m,2,1.0,0.0,1
0,famous_le_10m,3,1.0,0.0,1
0,famous_le_10m,4,1.0,0.2,1
0,famous_le_10m,5,1.0,0.2,1
0,famous_le_10m,6,1.0,1.0,1
0,famous_le_10m,7,1.0,1.0,1
0,famous_le_10m,8,1.0,1.0,1
0,famous_le_10m,9,1.0,1.0,1
0,famous_le_10m,10,1.0,1.0,1
0,famous_le_10m,11,1.0,1.0,1
0,famous_le_10m,12,1.0,1.0,1
0,famous_le_10m,13,1.0,1.0,1
0,famous_le_10m,14,1.0,1.0,1
0,famous_le_10m,15,1.0,1.0,1
0,famous_le_10m,16,1.0,1.0,1
0,famous_le_10m,17,1.0,1.0,1
0,famous_le_10m,18,1.0,1.0,1
0,famous_le_10m,19,1.0,1.0,1
0,famous_le_10m,20,1.0,1.0,1
0,famous_le_10m,21,1.0,1.0,1
0,famous_le_10m,22,1.0,1.0,1
0,famous_le_10m,23,1.0,1.0,1
0,famous_le_100m,0,0.5,0.5714285714285714,1
0,famous_le_100m,1,0.5,0.35714285714285715,1
0,famous_le_100m,2,0.5,0.42857142857142855,1
0,famous_le_100m,3,0.5,0.42857142857142855,1
0,famous_le_100m,4,0.5,0.42857142857142855,1
0,famous_le_100m,5,0.5,0.42857142857142855,1
0,famous_le_100m,6,0.5714285714285714,0.35714285714285715,1
0,famous_le_100m,7,0.6428571428571429,0.2857142857142857,1
0,famous_le_100m,8,0.7857142857142857,0.5,1
0,famous_le_100m,9,0.7857142857142857,0.35714285714285715,1
0,famous_le_100m,10,0.7857142857142857,0.5,1
0,famous_le_100m,11,0.7857142857142857,0.5714285714285714,1
0,famous_le_100m,12,0.9285714285714286,0.6428571428571429,1
0,famous_le_100m,13,0.9285714285714286,0.5,1
0,famous_le_100m,14,0.8571428571428571,0.7142857142857143,1
0,famous_le_100m,15,0.9285714285714286,0.8571428571428571,1
0,famous_le_100m,16,0.9285714285714286,0.8571428571428571,1
0,famous_le_100m,17,1.0,0.8571428571428571,1
0,famous_le_100m,18,0.9285714285714286,0.8571428571428571,1
0,famous_le_100m,19,0.9285714285714286,0.9285714285714286,1
0,famous_le_100m,20,0.9285714285714286,0.9285714285714286,1
0,famous_le_100m,21,1.0,1.0,1
0,famous_le_100m,22,1.0,1.0,1
0,famous_le_100m,23,1.0,1.0,1
0,maleficnet_benigns,0,0.0,1.0,1
0,maleficnet_mals,1,1.0,0.3076923076923077,1
1,famous_le_10m,0,0.2,0.6,1
1,famous_le_10m,1,0.8,0.4,1
1,famous_le_10m,2,0.8,0.4,1
1,famous_le_10m,3,1.0,0.2,1
1,famous_le_10m,4,1.0,0.8,1
1,famous_le_10m,5,1.0,1.0,1
1,famous_le_10m,6,1.0,1.0,1
1,famous_le_10m,7,1.0,1.0,1
1,famous_le_10m,8,1.0,1.0,1
1,famous_le_10m,9,1.0,1.0,1
1,famous_le_10m,10,1.0,1.0,1
1,famous_le_10m,11,1.0,1.0,1
1,famous_le_10m,12,1.0,1.0,1
1,famous_le_10m,13,1.0,1.0,1
1,famous_le_10m,14,1.0,1.0,1
1,famous_le_10m,15,1.0,1.0,1
1,famous_le_10m,16,1.0,1.0,1
1,famous_le_10m,17,1.0,1.0,1
1,famous_le_10m,18,1.0,1.0,1
1,famous_le_10m,19,1.0,1.0,1
1,famous_le_10m,20,1.0,1.0,1
1,famous_le_10m,21,1.0,1.0,1
1,famous_le_10m,22,1.0,1.0,1
1,famous_le_10m,23,1.0,1.0,1
1,famous_le_100m,0,0.2857142857142857,0.5,1
1,famous_le_100m,1,0.7142857142857143,0.5,1
1,famous_le_100m,2,0.7142857142857143,0.5,1
1,famous_le_100m,3,0.7857142857142857,0.42857142857142855,1
1,famous_le_100m,4,0.7857142857142857,0.35714285714285715,1
1,famous_le_100m,5,0.8571428571428571,0.42857142857142855,1
1,famous_le_100m,6,0.7857142857142857,0.6428571428571429,1
1,famous_le_100m,7,0.9285714285714286,0.7142857142857143,1
1,famous_le_100m,8,0.9285714285714286,0.9285714285714286,1
1,famous_le_100m,9,1.0,0.7857142857142857,1
1,famous_le_100m,10,1.0,0.7857142857142857,1
1,famous_le_100m,11,1.0,0.9285714285714286,1
1,famous_le_100m,12,1.0,0.9285714285714286,1
1,famous_le_100m,13,1.0,0.9285714285714286,1
1,famous_le_100m,14,1.0,0.9285714285714286,1
1,famous_le_100m,15,1.0,0.9285714285714286,1
1,famous_le_100m,16,1.0,0.9285714285714286,1
1,famous_le_100m,17,1.0,0.9285714285714286,1
1,famous_le_100m,18,1.0,1.0,1
1,famous_le_100m,19,1.0,1.0,1
1,famous_le_100m,20,1.0,1.0,1
1,famous_le_100m,21,1.0,1.0,1
1,famous_le_100m,22,1.0,1.0,1
1,famous_le_100m,23,1.0,1.0,1
